theme,f1,precision,recall,tp,fp,fn,tn,occurrences
pawnEndgame,0.9886547811993517,0.9838709677419355,0.993485342019544,305.0,5.0,2.0,9688.0,307.0
endgame,0.9817280891917002,0.9719950940310711,0.9916579770594369,4755.0,137.0,40.0,5068.0,4795.0
middlegame,0.9593041984322989,0.9534685165421558,0.9652117545375972,4467.0,218.0,161.0,5154.0,4628.0
queenEndgame,0.95,0.9421487603305785,0.957983193277311,114.0,7.0,5.0,9874.0,119.0
rookEndgame,0.9302736098852603,0.9039451114922813,0.9581818181818181,527.0,56.0,23.0,9394.0,550.0
opening,0.8813852813852814,0.845514950166113,0.9204339963833634,509.0,93.0,44.0,9354.0,553.0
short,0.6874056572816172,0.5237,1.0,5237.0,4763.0,0.0,0.0,5237.0
bishopEndgame,0.6319018404907976,0.5175879396984925,0.8110236220472441,103.0,96.0,24.0,9777.0,127.0
queenRookEndgame,0.6277372262773723,0.7962962962962963,0.5180722891566265,43.0,11.0,40.0,9906.0,83.0
crushing,0.6254484068368855,0.5385174418604651,0.7458480120785104,2964.0,2540.0,1010.0,3486.0,3974.0
mate,0.5980707395498392,0.5002338634237605,0.7434827945776851,2139.0,2137.0,738.0,4986.0,2877.0
advantage,0.5439438267992979,0.41589119541875447,0.7859316875211363,2324.0,3264.0,633.0,3779.0,2957.0
backRankMate,0.43148688046647227,0.42528735632183906,0.4378698224852071,148.0,200.0,190.0,9462.0,338.0
long,0.4075015336079222,0.2608256674893426,0.9311173408089708,2325.0,6589.0,172.0,914.0,2497.0
mateIn2,0.37115165336374006,0.2911449016100179,0.5117924528301887,651.0,1585.0,621.0,7143.0,1272.0
oneMove,0.3659621802002224,0.2911504424778761,0.49251497005988026,658.0,1602.0,678.0,7062.0,1336.0
knightEndgame,0.3653395784543325,0.22674418604651161,0.9397590361445783,78.0,266.0,5.0,9651.0,83.0
mateIn1,0.3637961335676626,0.2864391143911439,0.4983948635634029,621.0,1547.0,625.0,7207.0,1246.0
advancedPawn,0.33743842364532023,0.27155599603567887,0.44552845528455287,274.0,735.0,341.0,8650.0,615.0
kingsideAttack,0.3250620347394541,0.22007559848803024,0.6215895610913404,524.0,1857.0,319.0,7300.0,843.0
master,0.31455641688199826,0.20712341197822143,0.6535433070866141,913.0,3495.0,484.0,5108.0,1397.0
zugzwang,0.3027295285359802,0.1967741935483871,0.6559139784946236,61.0,249.0,32.0,9658.0,93.0
fork,0.2957774664798879,0.20386206896551723,0.5386297376093294,739.0,2886.0,633.0,5742.0,1372.0
quietMove,0.2765957446808511,0.23442622950819672,0.33726415094339623,143.0,467.0,281.0,9109.0,424.0
defensiveMove,0.268690275435638,0.2055030094582975,0.387987012987013,239.0,924.0,377.0,8460.0,616.0
veryLong,0.24276527331189712,0.1825876662636034,0.36211031175059955,302.0,1352.0,532.0,7814.0,834.0
sacrifice,0.21391674263141905,0.13968253968253969,0.4565499351491569,352.0,2168.0,419.0,7061.0,771.0
promotion,0.19637750238322213,0.1281094527363184,0.4204081632653061,103.0,701.0,142.0,9054.0,245.0
attackingF2F7,0.18,0.11688311688311688,0.391304347826087,27.0,204.0,42.0,9727.0,69.0
smotheredMate,0.16666666666666663,0.13636363636363635,0.21428571428571427,9.0,57.0,33.0,9901.0,42.0
discoveredAttack,0.1548165137614679,0.091432441584829,0.5046728971962616,270.0,2683.0,265.0,6782.0,535.0
mateIn3,0.15480649188514356,0.09619860356865788,0.3961661341853035,124.0,1165.0,189.0,8522.0,313.0
pin,0.14426949835225192,0.09283694627709708,0.32348111658456485,197.0,1925.0,412.0,7466.0,609.0
skewer,0.11385767790262173,0.06871609403254973,0.3318777292576419,76.0,1030.0,153.0,8741.0,229.0
deflection,0.10193718262177918,0.055294837788206486,0.6514423076923077,271.0,4630.0,145.0,4954.0,416.0
hangingPiece,0.1002073255010366,0.054225878833208674,0.6590909090909091,290.0,5058.0,150.0,4502.0,440.0
attraction,0.09720785935884178,0.05923125393824827,0.27089337175792505,94.0,1493.0,253.0,8160.0,347.0
exposedKing,0.09710982658959538,0.0549738219895288,0.4158415841584158,126.0,2166.0,177.0,7531.0,303.0
queensideAttack,0.07465007776049767,0.049484536082474224,0.1518987341772152,24.0,461.0,134.0,9381.0,158.0
masterVsMaster,0.07272727272727274,0.043243243243243246,0.22857142857142856,32.0,708.0,108.0,9152.0,140.0
trappedPiece,0.06338028169014084,0.037138927097661624,0.216,27.0,700.0,98.0,9175.0,125.0
capturingDefender,0.052173913043478265,0.037267080745341616,0.08695652173913043,6.0,155.0,63.0,9776.0,69.0
intermezzo,0.05166666666666666,0.02883720930232558,0.248,31.0,1044.0,94.0,8831.0,125.0
clearance,0.03889304412864622,0.01991421568627451,0.8280254777070064,130.0,6398.0,27.0,3445.0,157.0
hookMate,0.03307607497243661,0.016930022573363433,0.7142857142857143,15.0,871.0,6.0,9108.0,21.0
doubleCheck,0.026859504132231406,0.014207650273224045,0.24528301886792453,13.0,902.0,40.0,9045.0,53.0
equality,0.025342325771510323,0.012924744632061705,0.6458333333333334,62.0,4735.0,34.0,5169.0,96.0
mateIn4,0.02067669172932331,0.010752688172043012,0.2682926829268293,11.0,1012.0,30.0,8947.0,41.0
xRayAttack,0.01818181818181818,0.011627906976744186,0.041666666666666664,1.0,85.0,23.0,9891.0,24.0
bodenMate,0.014760147601476016,0.007444168734491315,0.8571428571428571,6.0,800.0,1.0,9193.0,7.0
interference,0.014035087719298246,0.007407407407407408,0.13333333333333333,6.0,804.0,39.0,9151.0,45.0
arabianMate,0.013262599469496024,0.006756756756756757,0.35714285714285715,5.0,735.0,9.0,9251.0,14.0
castling,0.009543285616905248,0.004797806716929404,0.875,7.0,1452.0,1.0,8540.0,8.0
enPassant,0.007761966364812419,0.003978779840848806,0.15789473684210525,3.0,751.0,16.0,9230.0,19.0
killBoxMate,0.007662835249042145,0.003875968992248062,0.3333333333333333,3.0,771.0,6.0,9220.0,9.0
anastasiaMate,0.005256241787122208,0.0026437541308658294,0.4444444444444444,4.0,1509.0,5.0,8482.0,9.0
dovetailMate,0.0040858018386108275,0.00205761316872428,0.2857142857142857,2.0,970.0,5.0,9023.0,7.0
